,id,lat,long,num_road,id_node,class_i
246,HI7057b,116.38915,39.94757,3,2061,5
247,HI7036b,116.40402,39.9475,3,2063,5
248,HI7058b,116.40997,39.94768,3,2064,5
249,HI3008b,116.4194,39.94832,3,2066,5
250,HI3009b,116.42345,39.94815,3,2067,5
251,HI4005c,116.45598,39.94497,3,3001,6
252,HI4013c,116.45518,39.93153,3,3003,6
253,HI8053c,116.45551,39.9279,3,3004,6
254,HI8074c,116.45513,39.92397,3,3005,6
255,HI8055c,116.45497,39.91835,3,3006,6
256,HI4034c,116.4551,39.89833,3,3008,6
257,HI4038c,116.4549,39.89075,3,3009,6
258,HI8005c,116.45519,39.88778,4,3010,6
259,HI8007c,116.455,39.87857,3,3012,8
260,HI8008c,116.45523,39.87312,3,3013,8
261,HI8056c,116.4545,39.86918,3,3014,8
262,HI8009c,116.45257,39.86438,3,3015,8
263,HI8010c,116.43768,39.85753,3,3017,8
264,HI8057d,116.43218,39.85735,3,3018,8
265,HI8012d,116.42114,39.85669,3,3020,8
266,HI8013d,116.41064,39.85568,3,3021,8
267,HI8014d,116.40628,39.85582,3,3022,8
268,HI8015d,116.40205,39.85564,3,3023,8
269,HI8016d,116.39777,39.85593,3,3024,8
270,HI8017d,116.38563,39.85568,3,3025,8
271,HI8059d,116.38223,39.85545,3,3026,8
272,HI8018d,116.35651,39.85299000000001,3,3028,8
273,HI8019d,116.34735,39.85049,3,3029,8
274,HI8020d,116.33546,39.84769,4,3030,8
275,HI8021d,116.32519,39.84817,3,3032,8
276,HI8022a,116.307,39.8617,3,3034,8
277,HI8072a,116.30603,39.86582,3,3035,8
278,HI8073a,116.30591,39.87053,3,3036,8
279,HI8024a,116.30506,39.87836,3,3037,9
280,HI8026a,116.3043,39.89235,4,3039,9
281,HI8062a,116.30423,39.90154,3,3040,9
282,HI8027a,116.30417,39.91008,1,3041,9
283,HI8063a,116.30413,39.91579,3,3042,9
284,HI8064a,116.30368,39.92205,3,3043,9
285,HI2063a,116.3041,39.92637,4,3044,9
286,HI2065a,116.30409,39.93588,4,3046,9
287,HI2090a,116.304,39.948,3,3049,9
288,HI2092b,116.30477,39.96178,3,3051,9
289,HI8034b,116.3121,39.96502,3,3052,9
290,HI2081b,116.32229,39.96607,3,3053,9
291,HI2072b,116.32777,39.96597,3,3054,9
292,HI8037b,116.33372,39.96605,3,3055,9
293,HI8066b,116.34499,39.9663,3,3057,10
294,HI8039b,116.35473,39.96638,4,3059,10
295,HI8040b,116.36265,39.96678,3,3060,10
296,HI3052b,116.38095,39.96678,4,3062,10
297,HI8070b,116.38532,39.96748,3,3063,6
298,HI8042b,116.39341,39.96725,4,3064,6
299,HI8043b,116.39915,39.96746,3,3065,6
300,HI8044b,116.40483,39.96763,3,3066,6
301,HI8046b,116.42018,39.96778,3,3068,6
302,HI8047b,116.42687,39.96819,3,3069,6
303,HI8071b,116.43542,39.96489,3,3071,6
304,HI8050c,116.45,39.9508,4,3074,6
305,HI9002a,116.48347,39.88573,4,4001,3
306,HI9003a,116.48325,39.87525,4,4002,3
307,HI9004a,116.48277,39.87165,4,4003,3
308,HI9005a,116.47998,39.85457,4,4004,3
309,HI9006a,116.4739,39.848,4,4005,3
310,HI9007a,116.468,39.842,4,4006,3
311,HI9008a,116.46177,39.83437,4,4007,3
312,HI9009b,116.454,39.833,4,4008,3
313,HI9010b,116.44667,39.83148,4,4009,3
314,HI9011b,116.42957,39.83105,4,4010,3
315,HI9012b,116.422,39.83105,4,4011,3
316,HI9013b,116.4119,39.83107,4,4012,3
317,HI9014b,116.40462,39.8311,4,4013,3
318,HI9015b,116.38392,39.83063,4,4014,3
319,HI9016b,116.37598,39.83043,4,4015,3
320,HI9017b,116.36793,39.83022,4,4016,3
321,HI9018b,116.3592,39.82993,4,4017,3
322,HI9019b,116.35,39.82992,4,4018,3
323,HI9020b,116.34597,39.82997,4,4019,7
324,HI9066b,116.33397,39.82975,4,4020,7
325,HI9067b,116.32973,39.82953,4,4021,7
326,HI9068b,116.31895,39.82948,4,4022,7
327,HI9022b,116.2957,39.8295,4,4025,7
328,HI9069b,116.28667,39.82965,4,4026,7
329,HI9070c,116.27887,39.84217,4,4027,7
330,HI9023c,116.27563,39.86817,4,4028,7
331,HI9024c,116.27175,39.87545,4,4029,7
332,HI9025c,116.2687,39.88397,4,4030,7
333,HI9026c,116.2682,39.889,4,4031,7
334,HI9028c,116.26817,39.89558,4,4032,7
335,HI9029c,116.26817,39.90062,4,4033,7
336,HI9030c,116.26818,39.9088,4,4034,7
337,HI9031c,116.26842,39.91235,4,4035,7
338,HI9032c,116.26937,39.92667,4,4036,7
339,HI9071c,116.26922,39.92965,4,4037,7
340,HI9033c,116.26848,39.93547,4,4038,7
341,HI9034c,116.26843,39.94073,4,4039,1
342,HI9072c,116.26988,39.95235,4,4040,1
343,HI9035c,116.27,39.9584,4,4041,1
344,HI9036c,116.284,39.9783,4,4042,1
345,HI9037c,116.28902,39.98222,4,4043,1
346,HI9073b,116.32173,39.98445,4,4045,1
347,HI9038b,116.33395,39.98537,4,4046,10
348,HI9039b,116.34073,39.98505,4,4047,10
349,HI9040b,116.36,39.986,4,4048,10
350,HI9041b,116.3823,39.98635,4,4049,10
351,HI9042b,116.38907,39.98658,4,4050,10
352,HI9043b,116.3954,39.98677,4,4051,0
353,HI9044b,116.40772,39.98715,4,4052,0
354,HI9045b,116.41442,39.98737,4,4053,0
355,HI9046b,116.42428,39.98757,4,4054,0
356,HI9048c,116.44,39.9846,4,4056,0
357,HI9074b,116.46152,39.97097,4,4059,0
358,HI9049c,116.4735,39.96308,4,4060,0
359,HI9050c,116.47642,39.96112,4,4061,0
360,HI9051c,116.48323,39.95,4,4062,0
361,HI9052c,116.48357,39.94838,4,4063,0
362,HI9053c,116.48355,39.93435,4,4064,0
363,HI9054c,116.48355,39.92888,4,4065,0
364,HI9055c,116.48342,39.9169,4,4066,3
365,HI9077c,116.34207,39.86212,3,11001,2
366,HI7022c,116.34147,39.85725,3,11002,8
367,HI9057c,116.341,39.8531,3,11003,8
368,HI9078c,116.34042,39.84882,3,11004,8
369,HI8020c,116.33985,39.84058,4,11005,7
370,HI9079c,116.33955,39.83557,4,11006,7
371,HI2068d,116.34165,39.89682,3,21001,2
372,HI9080d,116.32888,39.8961,4,21002,2
373,HI9059d,116.3175,39.89578,3,21003,2
374,HI9060d,116.31118,39.89585,3,21004,2
375,HI7032a,116.34998,39.94593,3,31001,4
376,HI9061a,116.34887,39.95367,3,31002,10
377,HI9062a,116.34803,39.96037000000001,4,31003,10
378,HI9063a,116.348,39.9664,3,31005,10
379,HI8039a,116.34755,39.97122,4,31007,10
380,HI9064a,116.34752,39.97768,3,31009,10
381,HI9065a,116.34738,39.98195,3,31010,10
382,HI7032d,116.343,39.9387,3,41001,4
383,HI9088d,116.334,39.9373,3,41002,4
384,HI9090d,116.328,39.9371,3,41003,4
385,HI9091d,116.313,39.9383,4,41004,9
386,HI8030d,116.309,39.9393,3,41005,9
387,HI9093d,116.294,39.9447,4,41007,9
388,HI9094d,116.284,39.9463,3,41008,1
389,HI7035a,116.373,39.9517,3,51001,5
390,HI9081a,116.373,39.9569,3,51002,5
391,HI9082a,116.374,39.9604,5,51003,10
392,HI8068a,116.375,39.9725,3,51006,10
393,HI9084a,116.375,39.9756,3,51007,10
394,HI9085a,116.374,39.9787,3,51008,10
395,HI9087a,116.373,39.984,3,51010,10
396,HI2092a,116.301,39.9667,3,61001,9
397,HI9102a,116.294,39.9799,3,61004,1
398,HI9037a,116.293,39.9899,3,61005,1
399,HI9097a,116.29,39.9935,3,61006,1
400,HI9098a,116.286,39.9987,3,61007,1
401,HI9100a,116.282,40.0082,3,61009,1
