0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
34,92,33,50,35,12,52,56,31,16,48,51,11,14,28,32,70,57,10,6,53,60,64,71,18,15,13,7,58,80,30,59,20,27,47,36,72,85,63,49,81,62,4,17,3,5,38,29,94,87,84,86,65,83,19,21,93,82,61,67,66,40,23,37,88,69,0,2,89,91,68,74,41,39,95,98,76,90,43,73,22,25,8,1,45,42,75,78,97,99,24,9,26,44,79,96,46,54,55,77
35,12,92,34,48,51,47,36,11,14,50,33,31,16,49,63,10,6,56,52,71,64,57,70,32,28,7,13,15,18,65,83,53,60,72,85,80,58,27,20,5,3,84,86,17,4,59,30,87,94,81,62,21,19,38,29,82,93,61,67,0,2,23,37,66,40,88,69,91,89,39,41,68,74,98,95,90,76,25,22,73,43,1,8,42,45,78,75,24,9,97,99,44,26,46,54,79,96,55,77
47,36,49,63,51,48,35,12,65,83,64,71,34,92,86,84,70,57,52,56,72,85,50,33,14,11,58,80,16,31,53,60,87,94,10,6,32,28,7,13,93,82,81,62,15,18,59,30,20,27,5,3,17,4,61,67,38,29,19,21,69,88,89,91,66,40,98,95,23,37,0,2,76,90,74,68,41,39,73,43,22,25,97,99,8,1,78,75,42,45,79,96,24,9,26,44,46,54,77,55
23,37,38,29,21,19,41,39,25,22,20,27,40,66,59,30,4,17,43,73,28,32,15,18,0,2,45,42,1,8,68,74,61,67,3,5,13,7,44,26,16,31,24,9,88,69,60,53,10,6,46,54,78,75,50,33,11,14,62,81,76,90,77,55,52,56,58,80,92,34,79,96,91,89,57,70,98,95,82,93,97,99,87,94,85,72,12,35,51,48,71,64,84,86,47,36,63,49,83,65
38,29,37,23,59,30,27,20,40,66,19,21,28,32,41,39,67,61,15,18,16,31,17,4,53,60,74,68,73,43,50,33,13,7,81,62,88,69,25,22,5,3,11,14,0,2,6,10,56,52,80,58,76,90,45,42,92,34,70,57,93,82,8,1,75,78,89,91,44,26,95,98,9,24,54,46,87,94,85,72,97,99,96,79,77,55,51,48,35,12,64,71,86,84,47,36,63,49,65,83
41,39,43,73,66,40,37,23,42,45,38,29,68,74,25,22,78,75,26,44,67,61,46,54,19,21,30,59,55,77,69,88,27,20,76,90,96,79,24,9,28,32,1,8,99,97,62,81,17,4,15,18,60,53,0,2,91,89,98,95,16,31,5,3,13,7,33,50,80,58,93,82,56,52,6,10,14,11,70,57,92,34,87,94,85,72,48,51,12,35,71,64,84,86,63,49,36,47,83,65
40,66,68,74,67,61,41,39,29,38,73,43,30,59,69,88,37,23,90,76,81,62,20,27,53,60,32,28,78,75,45,42,21,19,91,89,95,98,25,22,97,99,58,80,82,93,96,79,33,50,46,54,15,18,31,16,44,26,77,55,52,56,4,17,57,70,7,13,94,87,5,3,9,24,34,92,0,2,11,14,1,8,6,10,72,85,51,48,71,64,35,12,84,86,83,65,49,63,47,36
41,39,43,73,66,40,37,23,42,45,38,29,68,74,25,22,78,75,26,44,67,61,46,54,19,21,30,59,55,77,69,88,27,20,76,90,96,79,24,9,28,32,1,8,99,97,62,81,17,4,15,18,60,53,0,2,91,89,98,95,16,31,5,3,13,7,33,50,80,58,93,82,56,52,6,10,14,11,70,57,92,34,87,94,85,72,48,51,12,35,71,64,84,86,63,49,36,47,83,65
45,42,46,54,44,26,73,43,55,77,41,39,78,75,79,96,22,25,68,74,9,24,66,40,37,23,29,38,99,97,90,76,1,8,67,61,88,69,21,19,59,30,20,27,89,91,95,98,0,2,62,81,32,28,17,4,18,15,53,60,5,3,31,16,7,13,82,93,33,50,58,80,6,10,52,56,14,11,70,57,87,94,34,92,85,72,51,48,64,71,35,12,86,84,49,63,65,83,36,47
73,43,39,41,78,75,68,74,42,45,66,40,54,46,79,96,77,55,76,90,26,44,37,23,61,67,88,69,99,97,29,38,25,22,30,59,91,89,95,98,9,24,19,21,62,81,20,27,60,53,32,28,8,1,93,82,17,4,58,80,15,18,33,50,16,31,0,2,56,52,3,5,7,13,57,70,87,94,11,14,6,10,34,92,85,72,48,51,71,64,84,86,35,12,83,65,63,49,36,47
26,44,45,42,54,46,24,9,25,22,77,55,41,39,73,43,78,75,23,37,8,1,79,96,66,40,68,74,38,29,21,19,97,99,76,90,0,2,67,61,27,20,88,69,30,59,17,4,15,18,32,28,3,5,89,91,13,7,62,81,95,98,60,53,16,31,6,10,50,33,11,14,93,82,58,80,56,52,34,92,70,57,94,87,72,85,51,48,35,12,71,64,84,86,36,47,63,49,83,65
45,42,46,54,44,26,73,43,55,77,41,39,78,75,79,96,22,25,68,74,9,24,66,40,37,23,29,38,99,97,90,76,1,8,67,61,88,69,21,19,59,30,20,27,89,91,95,98,0,2,62,81,32,28,17,4,18,15,53,60,5,3,31,16,7,13,82,93,33,50,58,80,6,10,52,56,14,11,70,57,87,94,34,92,85,72,51,48,64,71,35,12,86,84,49,63,65,83,36,47
