,id,lat,long,num_road,id_node,class_i
184,HI9034b,116.284,39.9463,4,41008,1
185,HI9081c,116.373,39.9517,3,51001,0
186,HI9082c,116.373,39.9569,3,51002,0
187,HI9083c,116.374,39.9604,3,51003,3
188,HI9068c,116.374,39.9647,3,51004,3
189,HI9084c,116.375,39.9725,3,51006,3
190,HI9085c,116.375,39.9756,4,51007,3
191,HI9086c,116.374,39.9787,3,51008,3
192,HI9087c,116.373,39.9811,3,51009,3
193,HI9041c,116.373,39.984,3,51010,3
194,HI9095c,116.301,39.9667,3,61001,1
195,HI9096c,116.298,39.9704,4,61002,1
196,HI9102c,116.295,39.9767,3,61003,1
197,HI9037g,116.294,39.9799,3,61004,1
198,HI9097c,116.293,39.9899,3,61005,1
199,HI9098c,116.29,39.9935,3,61006,1
200,HI9099c,116.286,39.9987,3,61007,1
201,HI9101c,116.282,40.0082,2,61009,1
202,HI7060b,116.42768999999998,39.94485,3,2001,0
203,HI7000c,116.42764,39.9433,3,2002,0
204,HI7001c,116.42782,39.93705,3,2003,0
205,HI7002c,116.42832,39.92993,3,2005,0
206,HI7039c,116.42785,39.92513,3,2006,0
207,HI7003c,116.42875,39.92075,3,2007,0
208,HI7004c,116.42928,39.912,3,2009,0
209,HI7005c,116.42962,39.90918,3,2010,0
210,HI7041c,116.43007,39.90175,3,2012,0
211,HI7008c,116.43835,39.89055,4,2016,0
212,HI7009c,116.4387,39.8854,3,2017,2
213,HI7010c,116.43955,39.88148,4,2018,2
214,HI7011c,116.43945,39.87582,3,2019,2
215,HI7012c,116.43828,39.87125,2,2020,2
216,HI7013c,116.43597,39.86927,4,2021,2
217,HI7014d,116.43022,39.86944,3,2022,2
218,HI7015d,116.42113,39.86993,3,2023,2
219,HI7043d,116.41767,39.87013,3,2024,2
220,HI7016d,116.41218,39.86992,3,2025,2
221,HI7017d,116.40307,39.8707,3,2026,2
222,HI7059d,116.39986,39.87061,3,2027,2
223,HI5093d,116.38643,39.87006,4,2030,2
224,HI7019d,116.37753,39.86958,4,2031,2
225,HI5062d,116.35768,39.86753,4,2033,2
226,HI7046d,116.35141000000002,39.86705,3,2034,2
227,HI7022a,116.34364,39.86783,3,2035,2
228,HI7023a,116.34275,39.8723,3,2036,2
229,HI7065a,116.34325,39.87617,3,2037,2
230,HI5056a,116.34269,39.883,3,2038,2
231,HI7025a,116.34258,39.89158,5,2040,2
232,HI7026a,116.34268,39.89468,3,2041,2
233,HI2068a,116.34997,39.89798,3,2043,2
234,HI7048b,116.35073,39.90278,3,2044,2
235,HI2075a,116.3503,39.9044,3,2045,2
236,HI7049a,116.3504,39.9078,3,2046,2
237,HI7029a,116.35037,39.91002,3,2047,2
238,HI7051a,116.35023,39.91367,3,2048,2
239,HI7030a,116.35017,39.92385,4,2050,2
240,HI7053a,116.34957,39.92857,3,2052,2
241,HI2105a,116.34932,39.93655,3,2054,2
242,HI7032b,116.35598,39.94435,0,2056,2
243,HI7033b,116.36025,39.94573,3,2057,0
244,HI3002b,116.36985,39.94772,3,2058,0
245,HI7035b,116.37833,39.94747,3,2060,0
246,HI7057b,116.38915,39.94757,3,2061,0
247,HI7036b,116.40402,39.9475,3,2063,0
248,HI7058b,116.40997,39.94768,3,2064,0
249,HI3008b,116.4194,39.94832,3,2066,0
250,HI3009b,116.42345,39.94815,3,2067,0
251,HI4005c,116.45598,39.94497,3,3001,3
252,HI4013c,116.45518,39.93153,3,3003,3
253,HI8053c,116.45551,39.9279,3,3004,3
254,HI8074c,116.45513,39.92397,3,3005,3
255,HI8055c,116.45497,39.91835,3,3006,3
256,HI4034c,116.4551,39.89833,3,3008,3
257,HI4038c,116.4549,39.89075,3,3009,3
258,HI8005c,116.45519,39.88778,4,3010,3
259,HI8007c,116.455,39.87857,3,3012,5
260,HI8008c,116.45523,39.87312,3,3013,5
261,HI8056c,116.4545,39.86918,3,3014,5
262,HI8009c,116.45257,39.86438,3,3015,5
263,HI8010c,116.43768,39.85753,3,3017,5
264,HI8057d,116.43218,39.85735,3,3018,5
265,HI8012d,116.42114,39.85669,3,3020,5
266,HI8013d,116.41064,39.85568,3,3021,5
267,HI8014d,116.40628,39.85582,3,3022,5
268,HI8015d,116.40205,39.85564,3,3023,5
269,HI8016d,116.39777,39.85593,3,3024,5
270,HI8017d,116.38563,39.85568,3,3025,5
271,HI8059d,116.38223,39.85545,3,3026,5
272,HI8018d,116.35651,39.85299000000001,3,3028,5
273,HI8019d,116.34735,39.85049,3,3029,5
274,HI8020d,116.33546,39.84769,4,3030,5
275,HI8021d,116.32519,39.84817,3,3032,5
276,HI8022a,116.307,39.8617,3,3034,5
277,HI8072a,116.30603,39.86582,3,3035,5
278,HI8073a,116.30591,39.87053,3,3036,5
279,HI8024a,116.30506,39.87836,3,3037,1
280,HI8026a,116.3043,39.89235,4,3039,1
281,HI8062a,116.30423,39.90154,3,3040,1
282,HI8027a,116.30417,39.91008,1,3041,1
283,HI8063a,116.30413,39.91579,3,3042,1
284,HI8064a,116.30368,39.92205,3,3043,1
285,HI2063a,116.3041,39.92637,4,3044,1
286,HI2065a,116.30409,39.93588,4,3046,1
287,HI2090a,116.304,39.948,3,3049,1
288,HI2092b,116.30477,39.96178,3,3051,1
289,HI8034b,116.3121,39.96502,3,3052,1
290,HI2081b,116.32229,39.96607,3,3053,1
291,HI2072b,116.32777,39.96597,3,3054,1
292,HI8037b,116.33372,39.96605,3,3055,1
293,HI8066b,116.34499,39.9663,3,3057,3
294,HI8039b,116.35473,39.96638,4,3059,3
295,HI8040b,116.36265,39.96678,3,3060,3
296,HI3052b,116.38095,39.96678,4,3062,3
297,HI8070b,116.38532,39.96748,3,3063,3
298,HI8042b,116.39341,39.96725,4,3064,3
299,HI8043b,116.39915,39.96746,3,3065,3
300,HI8044b,116.40483,39.96763,3,3066,3
301,HI8046b,116.42018,39.96778,3,3068,3
302,HI8047b,116.42687,39.96819,3,3069,3
