,0,det,node,class
48,1.691913991320566,HI7004c,2009,0
49,1.3120972317326025,HI7005a,2009,0
50,19.076603174950606,HI7005c,2010,0
51,24.550352735926335,HI7006a,2010,0
52,12.110529259024117,HI7007a,2012,0
53,0.08222919652562417,HI7008c,2016,0
54,0.8490382378669787,HI7009a,2016,0
55,4.3591820333800655,HI7009c,2017,1
56,2.671506376167204,HI7010a,2017,1
57,13.78934499949949,HI7010c,2018,1
58,2.20323088941604,HI7011a,2018,1
59,13.999222634096828,HI7011c,2019,1
60,9.199785969415522,HI7012a,2019,1
61,3.531349496206399,HI7012c,2020,1
62,0.8378014386288296,HI7013a,2020,1
63,20.5742777844991,HI7013c,2021,1
64,5.6032718956751335,HI7014b,2021,1
65,11.727526385941747,HI7014d,2022,1
66,7.864747415134314,HI7015b,2022,1
67,12.030218923081096,HI7015d,2023,1
68,7.477035849215156,HI7016b,2024,1
69,3.945631305569194,HI7016d,2025,1
70,5.973323628133436,HI7017b,2025,1
71,2.9406957729864787,HI7017d,2026,1
72,1.984179607368637,HI7019b,2030,1
73,7.318523981136939,HI7019d,2031,1
74,6.6567619916674,HI7020b,2031,1
75,5.350040849877456,HI7022a,2035,1
76,15.625956072860912,HI7022b,2034,1
77,18.961796921300788,HI7022c,11002,1
78,1.951092680848465,HI7023a,2036,1
79,21.544624013789278,HI7025a,2040,1
80,18.86596048368328,HI7025c,2038,1
81,24.935126896853042,HI7026a,2041,1
82,24.449673982888203,HI7026c,2040,1
83,27.14593618199033,HI7029a,2047,3
84,41.99145225497334,HI7029c,2046,3
85,42.696971568623795,HI7030a,2050,3
86,10.29475636187887,HI7032a,31001,3
87,16.482721208150128,HI7032b,2056,3
88,17.759286864752934,HI7032c,2054,3
89,14.23049706693164,HI7032d,41001,3
90,11.874846692116366,HI7033b,2057,0
91,9.263675707239345,HI7035a,51001,0
92,11.865848729907157,HI7035b,2060,0
93,15.366097653089124,HI7035d,2058,0
94,35.23819073281042,HI7036b,2063,0
95,27.365071703397952,HI7039a,2005,0
96,13.037733901866304,HI7039c,2006,0
97,41.09203766176699,HI7040a,2007,0
98,38.64122812524395,HI7041c,2012,0
99,10.324004478566602,HI7043b,2023,1
100,9.687219838122088,HI7043d,2024,1
101,7.554931412577648,HI7046b,2033,1
102,27.156081875842336,HI7046d,2034,1
103,12.551411484746236,HI7048b,2044,1
104,2.116289121933214,HI7048d,2043,1
105,30.864258891597967,HI7049a,2046,3
106,1.836569279811839,HI7049c,2045,1
107,22.931488769855697,HI7050c,2047,3
108,32.31891152746676,HI7051a,2048,3
109,30.440197325565073,HI7052c,2048,3
110,25.004852875170116,HI7053a,2052,3
111,9.377371617244366,HI7054d,2056,3
112,3.982688542282462,HI7056d,2060,0
113,18.601010425445708,HI7057b,2061,0
114,21.46857378716204,HI7057d,2061,0
115,25.84349733113668,HI7058b,2064,0
116,30.967141156325198,HI7058d,2063,0
117,5.440857667908928,HI7059b,2026,1
118,10.551694655653243,HI7059d,2027,1
119,8.593718318750337,HI7060b,2001,0
120,13.124653077532384,HI7060d,2067,0
121,31.06639741420652,HI7064c,2050,3
122,17.527259548891692,HI7065a,2037,1
123,16.880892712219683,HI7065c,2036,1
124,33.35375665572401,HI8005a,3009,4
125,0.629690225417958,HI8005c,3010,4
126,0.4942356259117217,HI8007a,3011,4
127,14.398558337082273,HI8007c,3012,4
128,9.948422463682471,HI8008a,3012,4
129,10.167352249063054,HI8008c,3013,4
130,9.126125530437337,HI8009a,3014,4
131,24.648570384577457,HI8009c,3015,4
132,8.62408572144532,HI8010a,3015,4
133,8.17664650937032,HI8010c,3017,4
134,7.767872526550872,HI8011a,3018,4
135,10.142670894639833,HI8012d,3020,1
136,7.36020363127197,HI8013d,3021,1
137,6.528976906014479,HI8014b,3021,1
138,5.155343831314082,HI8014d,3022,1
139,6.567512696635099,HI8015b,3022,1
140,8.667072498787103,HI8015d,3023,1
141,4.380740287627918,HI8016b,3023,1
142,2.986223034031992,HI8016d,3024,1
143,12.959934969324406,HI8017b,3024,1
144,10.113785996204863,HI8017d,3025,1
145,9.837017409464016,HI8018b,3026,1
146,3.4253177759778493,HI8018d,3028,1
147,3.5053183232923715,HI8019b,3028,1
148,6.482761061550325,HI8019d,3029,1
149,2.3536397016825132,HI8020a,11004,1
150,9.076561343667347,HI8020b,3029,1
151,3.2992252006222342,HI8020c,11005,5
152,6.992281682190859,HI8020d,3030,1
153,14.155060399790242,HI8021b,3030,1
154,5.595339285447063,HI8021d,3032,1
155,5.504663598840237,HI8022a,3034,1
156,13.44413875317699,HI8022b,3032,1
157,9.185478476430806,HI8023c,3036,1
158,7.536669774339045,HI8024a,3037,3
159,5.854226015501091,HI8025c,3037,3
160,12.021393934817452,HI8026a,3039,3
161,18.547107440385037,HI8026c,3038,3
162,25.648888216761254,HI8027a,3041,3
163,13.562752629029799,HI8027c,3040,3
164,9.492286472741721,HI8030b,41004,3
165,12.214375095257884,HI8030c,3046,3
166,7.844605029802852,HI8030d,41005,3
167,11.317858612691108,HI8034b,3052,3
168,3.5305184554407925,HI8034d,3051,3
169,16.093583215181628,HI8037b,3055,3
170,10.551795295033118,HI8037d,3054,3
171,10.53308742204697,HI8038d,3055,3
172,5.506668054377823,HI8039a,31007,4
173,5.404744380657037,HI8039b,3059,4
174,34.524071980057904,HI8039c,31005,4
175,1.1852762746680354,HI8039d,3057,4
176,14.47956443612234,HI8040b,3060,4
177,13.94884690753615,HI8040d,3059,4
178,8.935143335660909,HI8042b,3064,4
179,16.047267195300318,HI8042d,3063,4
180,24.70825751476555,HI8043b,3065,4
181,12.405699709537867,HI8043d,3064,4
182,15.515864383354897,HI8044b,3066,4
183,12.170651898144696,HI8044d,3065,4
184,6.821115847767139,HI8046b,3068,4
185,15.05846488761788,HI8047b,3069,4
186,4.310078193905948,HI8047d,3068,4
187,9.276176996871026,HI8048d,3069,4
188,14.616030191840771,HI8050c,3074,4
189,9.221508852827894,HI8050d,3071,4
190,18.26156440734312,HI8051a,3001,4
191,16.18244028109715,HI8053a,3003,4
192,47.61261888796087,HI8053c,3004,4
193,42.748627710342916,HI8054a,3005,4
194,1.9482989440085023,HI8055c,3006,4
195,14.709717818738257,HI8056a,3013,4
196,8.970250192672514,HI8056c,3014,4
197,25.924176694553815,HI8057a,3017,4
198,9.465930620277108,HI8057d,3018,4
199,6.630021236457145,HI8058b,3020,1
200,6.127198492439551,HI8059b,3025,1
201,3.4925210048014446,HI8059d,3026,1
202,26.858664986947588,HI8062a,3040,3
203,3.392078957902851,HI8062b,21004,1
204,5.620692120438321,HI8062c,3039,3
205,20.435947210262643,HI8063a,3042,3
206,19.551437018191525,HI8063c,3041,3
207,18.709757969367647,HI8064a,3043,3
208,14.116782890713628,HI8064c,3042,3
209,25.487814974455247,HI8066b,3057,4
