id,lat,long,num_road
HI8057a,116.43768,39.85753,3
HI8011a,116.43218,39.85735,3
HI8012b,116.425,39.85737,3
HI8058b,116.42114,39.85669,3
HI8014b,116.41064,39.85568,3
HI8015b,116.40628,39.85582,3
HI8016b,116.40205,39.85564,3
HI8017b,116.39777,39.85593,3
HI8059b,116.38563,39.85568,3
HI8018b,116.38223,39.85545,3
HI8019b,116.35651,39.85299,3
HI8020b,116.34735,39.85049,3
HI8021b,116.33546,39.84769,4
HI8022b,116.32519,39.84817,3
HI8072c,116.307,39.8617,3
HI8073c,116.30603,39.86582,3
HI8023c,116.30591,39.87053,3
HI8025c,116.30506,39.87836,3
HI8026c,116.30427,39.88782,3
HI8062c,116.3043,39.89235,4
HI8027c,116.30423,39.90154,3
HI8063c,116.30417,39.91008,1
HI8064c,116.30413,39.91579,3
HI2063c,116.30368,39.92205,3
HI2065c,116.3041,39.92637,4
HI8030c,116.30409,39.93588,4
HI2092c,116.304,39.948,4
HI8034d,116.30477,39.96178,3
HI2081d,116.3121,39.96502,3
HI2072d,116.32229,39.96607,4
HI8037d,116.32777,39.96597,3
HI8038d,116.33372,39.96605,3
HI8066d,116.33958,39.96634,3
HI8039d,116.34499,39.9663,3
HI8040d,116.35473,39.96638,4
HI3052d,116.36265,39.96678,3
HI8068d,116.38095,39.96678,4
HI8042d,116.38532,39.96748,3
HI8043d,116.39341,39.96725,4
HI8044d,116.39915,39.96746,3
HI3058d,116.40483,39.96763,3
HI8046d,116.41213,39.968,3
HI8047d,116.42018,39.96778,3
HI8048d,116.42687,39.96819,3
HI8049d,116.43207,39.96713,3
HI8050d,116.43542,39.96489,3
HI4005a,116.45,39.9508,4
HI9001c,116.48347,39.88573,4
HI9002c,116.48325,39.87525,4
HI9003c,116.48277,39.87165,4
HI9004c,116.47998,39.85457,4
HI9005c,116.4739,39.848,4
HI9006c,116.468,39.842,4
HI9007d,116.46177,39.83437,4
HI9008c,116.454,39.833,4
HI9009d,116.44667,39.83148,4
HI9010d,116.42957,39.83105,4
HI9011d,116.422,39.83105,4
HI9012d,116.4119,39.83107,4
HI9013d,116.40462,39.8311,4
HI9014d,116.38392,39.83063,4
HI9015d,116.37598,39.83043,4
HI9016d,116.36793,39.83022,4
HI9017d,116.3592,39.82993,4
HI9018d,116.35,39.82992,5
HI9019d,116.34597,39.82997,4
HI9020d,116.33397,39.82975,4
HI9021d,116.32973,39.82953,4
HI9022d,116.31895,39.82948,4
HI9066d,116.30357,39.82948,4
HI9067d,116.2957,39.8295,4
HI9068d,116.28667,39.82965,4
HI9069a,116.27887,39.84217,4
HI9070a,116.27563,39.86817,4
HI9023a,116.27175,39.87545,4
HI9024a,116.2687,39.88397,4
HI9025a,116.2682,39.889,4
HI9026a,116.26817,39.89558,4
HI9028a,116.26817,39.90062,4
HI9029a,116.26818,39.9088,4
HI9030a,116.26842,39.91235,4
HI9031a,116.26937,39.92667,4
HI9032a,116.26922,39.92965,4
HI9071a,116.26848,39.93547,4
HI9033a,116.26843,39.94073,4
HI9034a,116.26988,39.95235,4
HI9072a,116.27,39.9584,4
HI9035a,116.284,39.9783,4
HI9036a,116.28902,39.98222,5
HI9073d,116.30128,39.98458,4
HI9038d,116.32173,39.98445,4
HI9039d,116.33395,39.98537,4
HI9040d,116.34073,39.98505,5
HI9041d,116.36,39.986,4
HI9042d,116.3823,39.98635,3
HI9043d,116.38907,39.98658,4
HI9044d,116.3954,39.98677,4
